hgnc_symbol,pt01_Media,pt01_Mtb,pt02_Media,pt02_Mtb,pt03_Media,pt03_Mtb,pt04_Media,pt04_Mtb,pt05_Media,pt05_Mtb,pt06_Media,pt06_Mtb,pt07_Media,pt07_Mtb,pt08_Media,pt08_Mtb,pt09_Media,pt09_Mtb,pt10_Media,pt10_Mtb
5_8S_rRNA,9.82,13.42,8.1,9.57,20.05,20.01,12.2,4.07,4,3,25.5,33.16,9.13,8.06,10.17,7.03,19.23,23.9,27.25,19.2
5S_rRNA,32.94,42.32,19.24,24.06,28.07,28.18,16.54,13.95,25.41,22.48,56.6,51.92,16.11,20.43,16.63,10.96,54.61,39.35,41.38,61.88
7SK,2.77,3.06,1,4.1,2.28,1.28,4.78,2,1.95,2,0,4.7,2.78,0,1,0.66,4.16,2,9.1,6.69
A1BG,15.29,16,19.88,19.69,25,18.3,9,16.61,26.29,4,19.53,18.96,20.14,24.11,10.01,6.98,17,27.94,23.87,13.6
A1BG-AS1,69.61,16,51.77,58.81,46.71,46.97,46.79,26.39,50.88,15.11,30.64,37.99,34.67,26.61,28.48,28.8,80.44,40.36,61.55,60.52
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2
A2M,675,255,684,536,1271,585.93,337,243,1447.97,1087.04,646,370,1724,987,247,193.52,972,531,1946.09,922.54
A2M-AS1,17,0,12,6,19.99,16.06,14,17,22.03,7.96,15,4,8,10,6,10.48,33,11,224.8,230.19
A2ML1,2,3,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,1,0
A2ML1-AS1,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A4GALT,31,58,0,34,4,25,14,25,11,37,13,16,3,28,7,12,7,27,4,14
A4GNT,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,102,61,168,58,135,68,50,41,196,95,164,90,162,75,72,53,124,70,256,154
