hgnc_symbol,gene_biotype,mean.CPM,min.CPM,max.CPM,express.in.libs
A1CF,protein_coding,0.04040480502055761,0,0.3224188049620183,4
A3GALT2,protein_coding,0,0,0,0
A4GNT,protein_coding,0.04497893646668984,0,0.25986580394753933,5
AADAC,protein_coding,0,0,0,0
AADACL2,protein_coding,0.01903805638030138,0,0.20307015059367609,3
AADACL3,protein_coding,0.04810542121328393,0,0.8766149076532593,2
AADACL4,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
AADAT,protein_coding,0.038557421632102185,0,0.3224188049620183,5
AARD,protein_coding,0.08268018135308493,0,0.5195305608440639,7
ABCA12,protein_coding,0.09293010236737019,0,0.7375796831994581,7
ABCA4,protein_coding,0.05677851112628099,0,0.34106573755766734,5
ABCA8,protein_coding,0.006496645098688483,0,0.12993290197376967,1
ABCA9,protein_coding,0.21487767605253597,0,1.2456308408330794,11
ABCC12,protein_coding,0.02601115290026832,0,0.2765923811997968,3
ABCC8,protein_coding,0.010536210885287098,0,0.12523070109332277,2
ABCC9,protein_coding,0.0811653451485935,0,0.2765923811997968,9
ABCG4,protein_coding,0.030314649521956578,0,0.37569210327996827,3
ABCG5,protein_coding,0.03922784417673653,0,0.25046140218664553,5
ABCG8,protein_coding,0.04972854972757572,0,0.6190056728651089,4
ABHD14A-ACY1,protein_coding,0.16513633059107705,0,1.0153507529683805,8
ABHD16B,protein_coding,0,0,0,0
ABRA,protein_coding,0.12161074874422421,0,0.511598606336501,8
ACADL,protein_coding,0.021489072822039434,0,0.25046140218664553,2
ACBD7,protein_coding,0.07784621710922195,0,0.8060470124050457,3
ACCSL,protein_coding,0.018784605163998415,0,0.37569210327996827,1
ACE2,protein_coding,0,0,0,0
ACER1,protein_coding,0.03262957349836185,0,0.346353707229376,3
ACKR1,protein_coding,0.01754339153135197,0,0.173176853614688,3
ACKR2,protein_coding,0.15213307674323118,0,0.5195305608440639,11
ACOT12,protein_coding,0.01963735604669077,0,0.15062049407871977,3
ACOT6,protein_coding,0.017307633606370484,0,0.20774924536817865,2
ACOX2,protein_coding,0.07486308861372232,0,0.7904158432553532,6
ACOXL,protein_coding,0.04285132918696121,0,0.34106573755766734,4
ACR,protein_coding,0.010119472118709604,0,0.11689592576177288,2
ACRV1,protein_coding,0.07692266423528399,0,0.345160953963231,6
ACSBG2,protein_coding,0.15307371448437118,0,0.6082113852780038,11
ACSM1,protein_coding,0.16170599896073576,0,0.9905738125254228,9
ACSM2A,protein_coding,0.11248822653462023,0,1.0153507529683805,6
ACSM2B,protein_coding,0.12530114221629485,0,0.6453822227995258,10
ACSM4,protein_coding,0.026803660158056093,0,0.40614030118735217,2
ACSM6,protein_coding,0.060997677759912786,0,0.4300879438523172,6
ACSS3,protein_coding,0.1966757613748057,0,1.0992319325778974,11
ACTA1,protein_coding,0.05825718062635297,0,0.3041056926390019,6
ACTBL2,protein_coding,0.01937325356967703,0,0.20307015059367609,2
ACTC1,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
ACTG2,protein_coding,0.00916011645212077,0,0.18320232904241543,1
ACTL6B,protein_coding,0.006261535054666138,0,0.12523070109332277,1
ACTL7A,protein_coding,0.027343760377273207,0,0.3162743203863009,3
ACTL7B,protein_coding,0.03600468396729027,0,0.25046140218664553,4
ACTL8,protein_coding,0.004609873019996613,0,0.09219746039993226,1
ACTL9,protein_coding,0,0,0,0
ACTN3,protein_coding,0.12574950603605423,0,0.5943442875152537,8
ACTRT1,protein_coding,0,0,0,0
ACTRT2,protein_coding,0,0,0,0
ACY3,protein_coding,0.04351548623140019,0,0.427467583062096,4
ADAD1,protein_coding,0.004609873019996613,0,0.09219746039993226,1
ADAD2,protein_coding,0.04027646672646887,0,0.40614030118735217,4
ADAM11,protein_coding,0.07566578148567994,0,0.5496069871272463,8
ADAM18,protein_coding,0,0,0,0
ADAM2,protein_coding,0.004609873019996613,0,0.09219746039993226,1
ADAM21,protein_coding,0.23598062874606546,0,0.9905738125254228,13
ADAM29,protein_coding,0.09166848706972446,0,0.5379601627624294,7
ADAM30,protein_coding,0.060533936937935,0,0.40614030118735217,5
ADAM33,protein_coding,0.037991547292987406,0,0.6092104517810283,2
ADAM7,protein_coding,0.006261535054666138,0,0.12523070109332277,1
ADAMTS1,protein_coding,0.15028150210166086,0,0.511598606336501,12
ADAMTS12,protein_coding,0.07157257943556315,0,0.5984546162869343,5
ADAMTS15,protein_coding,0.07706604461192017,0,0.5009228043732911,6
ADAMTS16,protein_coding,0.015475141821627722,0,0.30950283643255444,1
ADAMTS18,protein_coding,0.012758180153354622,0,0.12993290197376967,2
ADAMTS19,protein_coding,0.008884548850617572,0,0.09219746039993226,2
ADAMTS20,protein_coding,0.059025199815198104,0,0.20633522428836962,8
ADAMTS3,protein_coding,0.10706800702442598,0,1.0992139742544926,5
ADAMTS8,protein_coding,0.08371557479659833,0,0.6190056728651089,5
ADAMTS9,protein_coding,0.08925481825295849,0,0.6325486407726018,7
ADAMTSL1,protein_coding,0.07569556527455681,0,0.3962295250101691,6
ADAMTSL2,protein_coding,0.06112101664055095,0,0.5379601627624294,4
ADAMTSL3,protein_coding,0.08450020813124416,0,0.511598606336501,6
ADARB2,protein_coding,0.1533579603842737,0,0.4836282074430275,11
ADCY10,protein_coding,0.11372202113782896,0,0.4744114805794513,10
ADCY2,protein_coding,0.10797417396199939,0,0.8766149076532593,6
ADCY8,protein_coding,0.014180413955875187,0,0.19811476250508456,2
ADCYAP1R1,protein_coding,0.026691463173655935,0,0.37569210327996827,2
